frame_index,image,count,min,max,mean,std,p1,p5,p10,p25,p50,p75,p90,p95,p99
0,img0.png,195804,1.6560218334197998,7.3410964012146,4.985996730803557,0.8786558911900637,2.7372117686271666,3.4862770795822144,3.842187237739563,4.46768045425415,5.010156154632568,5.4865652322769165,6.224471092224121,6.49476432800293,6.847371273040771
1,img2.png,195804,1.617244005203247,10.067221641540527,6.320364431093785,1.4744290036646186,3.1528288102149964,4.05833683013916,4.529091930389404,5.209848165512085,6.244756460189819,7.397846460342407,8.458874702453613,8.883119010925293,9.435109243392946
2,img4.png,195804,1.7766448259353638,10.778706550598145,6.508453402531329,1.5998386762561527,3.17422039270401,4.061785125732422,4.534766960144043,5.244818449020386,6.4753875732421875,7.652986407279968,8.829308986663818,9.253962993621826,9.866594371795655
3,img6.png,195804,1.7478244304656982,11.427252769470215,6.8424594967255095,1.775996098163461,3.2209117436408996,4.135589909553528,4.591790390014649,5.428154349327087,6.834690809249878,8.125685691833496,9.40759210586548,9.848846244812012,10.523980083465576
4,img8.png,195804,1.5900647640228271,11.507451057434082,6.778236817355682,1.8032413654147954,3.040050094127655,4.032896518707275,4.493142890930176,5.343909859657288,6.743367671966553,8.06876540184021,9.353302001953125,9.826532077789306,10.481068859100342
5,img10.png,195804,1.6263859272003174,11.53213119506836,6.936603078610008,1.874708047118864,3.029256212711334,4.106414890289306,4.535978221893311,5.3924243450164795,6.917759656906128,8.325919151306152,9.593099212646486,10.013399839401245,10.705519161224366
6,img12.png,195804,1.72013258934021,11.859012603759766,7.0564303511391016,1.9502969136044408,3.069932780265808,4.13068687915802,4.533081722259522,5.399187088012695,7.039859294891357,8.553553581237793,9.77047004699707,10.265218925476075,11.058612394332886
7,img14.png,195804,1.8880325555801392,12.300436973571777,7.214257013064498,2.0266473543488024,3.3278388476371763,4.141489124298095,4.591666507720947,5.467979311943054,7.203048229217529,8.776084423065186,10.003552627563478,10.60203742980957,11.384227590560913
8,img16.png,195804,1.8086189031600952,12.142329216003418,7.096511087118234,1.9859002077975008,3.170693380832672,4.070264434814453,4.5653258800506595,5.399701356887817,7.0829758644104,8.649651527404785,9.824580669403076,10.383838176727295,11.089975671768189
9,img18.png,195804,1.7280210256576538,11.981971740722656,7.1510109735074385,2.051633470389132,3.0672266459465027,3.9702450394630433,4.487539529800415,5.366992354393005,7.197938680648804,8.78773546218872,9.900754261016846,10.507214498519899,11.145906038284302
10,img20.png,195804,1.518599271774292,12.093894958496094,7.249092658738268,2.1181530165851408,3.0109307169914246,3.931367576122284,4.46291561126709,5.408632040023804,7.319146633148193,8.890995502471924,10.086089420318604,10.687529754638673,11.428168115615845
11,img22.png,195804,1.6369558572769165,12.220978736877441,7.227363783307651,2.087065126917247,2.9984568691253664,3.8940258622169495,4.457659149169922,5.377013444900513,7.367172002792358,8.87317442893982,9.96728916168213,10.53577938079834,11.339006423950195
12,img24.png,195804,1.6688518524169922,11.859210014343262,6.991646299687706,2.018038114140564,2.965375826358795,3.889352011680603,4.425050497055054,5.260905027389526,7.0244832038879395,8.62685775756836,9.66891145706177,10.248013496398926,11.032212190628051
13,img26.png,195804,1.683688998222351,12.328999519348145,7.114181159197162,2.081503601123974,2.9130464029312133,3.7570009589195252,4.304157972335815,5.322115540504456,7.2752697467803955,8.754741668701172,9.777138614654541,10.4326753616333,11.229774255752563
14,img28.png,195804,1.6092787981033325,12.006322860717773,6.993639287438467,2.088367594425314,2.85874276638031,3.7568386793136597,4.289482593536377,5.239722967147827,6.99485445022583,8.633064270019531,9.790947246551514,10.441168546676636,11.183467445373536
15,img30.png,195804,1.5724921226501465,11.902445793151855,7.010432016644102,2.0894216555785503,2.8004644536972045,3.6182300448417664,4.187081289291382,5.260530471801758,7.156281232833862,8.614047527313232,9.739766216278076,10.371590805053712,11.134149551391602
16,img32.png,195804,1.5262749195098877,11.650433540344238,6.90840052735043,2.0187695480326866,2.7738220500946045,3.6312220096588135,4.2359761714935305,5.233348846435547,7.0735695362091064,8.467498302459717,9.534907054901122,10.143011283874511,10.883255758285523
17,img34.png,195804,1.4245741367340088,11.59455394744873,6.902575447816595,2.0632346932526593,2.540174150466919,3.5149209260940553,4.150901412963867,5.23224937915802,7.006632089614868,8.49375033378601,9.609203720092774,10.216005611419678,10.916261882781983
18,img36.png,195804,1.4550238847732544,11.636487007141113,6.803527521281873,2.026775713088098,2.6295098638534546,3.5397144198417663,4.1658299446105955,5.122439742088318,6.888350248336792,8.408632755279541,9.50193681716919,10.037012481689453,10.768327207565308
19,img38.png,195804,1.453243374824524,11.451903343200684,6.756134387842907,1.9611958614240668,2.6938780784606933,3.5913405537605287,4.205965232849121,5.187497138977051,6.794597148895264,8.31290864944458,9.357663249969484,9.929122924804688,10.72249189376831
